
TURNS: 7.5

Greninja: Water Shuriken [wtr] / Night Slash [drk]; Turns: 7.5; Damage: 1962
Clefable: Fairy Wind [fai] / Swift [nrm]; Turns: 7.78; Damage: 1467
Electrode (Hisuian): Thunder Shock [elc] / Swift [nrm]; Turns: 7.78; Damage: 1451
Kingler: *Mud Shot [grd] / Razor Shell [wtr]; Turns: 7.78; Damage: 1440
Weezing (Galarian): Fairy Wind [fai] / Brutal Swing [drk]; Turns: 7.78; Damage: 1434
Ariados: Poison Sting [poi] / Cross Poison [poi]; Turns: 7.78; Damage: 1416 (both poison)
Castform (Sunny): Ember [fir] / Weather Ball (Fire) [fir]; Turns: 7.78; Damage: 1408 (both fire)
Ponyta (Galarian): Psycho Cut [psy] / Swift [nrm]; Turns: 7.78; Damage: 1401
Greedent: Mud Shot [grd] / Body Slam [nrm]; Turns: 7.78; Damage: 1386
Maushold: Mud Shot [grd] / Swift [nrm]; Turns: 7.78; Damage: 1378
Machop: Karate Chop [fig] / Cross Chop [fig]; Turns: 7.78; Damage: 1370 (both fighting)
Turtonator: Ember [fir] / Brutal Swing [drk]; Turns: 7.78; Damage: 1360
Quagsire: Mud Shot [grd] / *Aqua Tail [wtr]; Turns: 7.78; Damage: 1357
Swampert: Mud Shot [grd] / Muddy Water [wtr]; Turns: 7.78; Damage: 1303
Sandslash: Mud Shot [grd] / *Night Slash [drk]; Turns: 7.78; Damage: 1302
Klinklang: Thunder Shock [elc] / Mirror Shot [stl]; Turns: 7.78; Damage: 1282
Morpeko (Full Belly): Thunder Shock [elc] / Psychic Fangs [psy]; Turns: 7.78; Damage: 1262
Seismitoad: Mud Shot [grd] / Muddy Water [wtr]; Turns: 7.78; Damage: 1178
Growlithe: Ember [fir] / Body Slam [nrm]; Turns: 7.78; Damage: 1121
Krabby: Mud Shot [grd] / Razor Shell [wtr]; Turns: 7.78; Damage: 1086
Goldeen: Mud Shot [grd] / Aqua Tail [wtr]; Turns: 7.78; Damage: 1066
Vulpix: Ember [fir] / Weather Ball (Fire) [fir]; Turns: 7.78; Damage: 972 (both fire)
Cyndaquil: Ember [fir] / Swift [nrm]; Turns: 7.78; Damage: 956
Gible: Mud Shot [grd] / Body Slam [nrm]; Turns: 7.78; Damage: 956
Tepig: Ember [fir] / Body Slam [nrm]; Turns: 7.78; Damage: 948
Mareep: Thunder Shock [elc] / Body Slam [nrm]; Turns: 7.78; Damage: 939
Spinarak: Poison Sting [poi] / Cross Poison [poi]; Turns: 7.78; Damage: 924 (both poison)
Nidorino: Poison Sting [poi] / Horn Attack [nrm]; Turns: 7.78; Damage: 901
Stunfisk: Thunder Shock [elc] / Muddy Water [wtr]; Turns: 7.78; Damage: 867
Nidoran Male: Poison Sting [poi] / Body Slam [nrm]; Turns: 7.78; Damage: 865
Tandemaus: Mud Shot [grd] / Swift [nrm]; Turns: 7.78; Damage: 849
Barboach: Mud Shot [grd] / Aqua Tail [wtr]; Turns: 7.78; Damage: 830
Togedemaru: Thunder Shock [elc] / Fell Stinger [bug]; Turns: 7.78; Damage: 827
Skorupi: Poison Sting [poi] / Cross Poison [poi]; Turns: 7.78; Damage: 818 (both poison)
Beedrill: Poison Sting [poi] / Fell Stinger [bug]; Turns: 7.78; Damage: 811
Spinarak: Poison Sting [poi] / Night Slash [drk]; Turns: 7.78; Damage: 807
Qwilfish: Poison Sting [poi] / Fell Stinger [bug]; Turns: 7.78; Damage: 801
Vulpix: Ember [fir] / Body Slam [nrm]; Turns: 7.78; Damage: 791
Stunfisk: Mud Shot [grd] / Muddy Water [wtr]; Turns: 7.78; Damage: 790
Stunfisk (Galarian): Mud Shot [grd] / Muddy Water [wtr]; Turns: 7.78; Damage: 790
Drapion: Poison Sting [poi] / Fell Stinger [bug]; Turns: 7.78; Damage: 784
Skorupi: Poison Sting [poi] / Aqua Tail [wtr]; Turns: 7.78; Damage: 766
Poliwag: Mud Shot [grd] / Body Slam [nrm]; Turns: 7.78; Damage: 751
Poliwrath: Mud Shot [grd] / Power-Up Punch [fig]; Turns: 7.78; Damage: 728
Goldeen: Mud Shot [grd] / Horn Attack [nrm]; Turns: 7.78; Damage: 710
Nidoran Female: Poison Sting [poi] / Body Slam [nrm]; Turns: 7.78; Damage: 709
Nidoran Male: Poison Sting [poi] / Horn Attack [nrm]; Turns: 7.78; Damage: 690
Mawile: Fairy Wind [fai] / Power-Up Punch [fig]; Turns: 7.78; Damage: 675
Vespiquen: Poison Sting [poi] / Fell Stinger [bug]; Turns: 7.78; Damage: 662
Medicham: Psycho Cut [psy] / Power-Up Punch [fig]; Turns: 7.78; Damage: 580
Wooper: Mud Shot [grd] / Body Slam [nrm]; Turns: 7.78; Damage: 578
Wooper (Paldean): Mud Shot [grd] / Body Slam [nrm]; Turns: 7.78; Damage: 578

TURNS: 8.0

Gigalith: Lock On [nrm] / Superpower [fig]; Turns: 8.0; Damage: 2335
Regieleki: Lock On [nrm] / *Thunder Cage [elc]; Turns: 8.0; Damage: 2222

TURNS: 8.08

Gengar: Hex [gho] / *Shadow Punch [gho]; Turns: 8.08; Damage: 2380 (both ghost)
Sceptile: Bullet Seed [grs] / Leaf Blade [grs]; Turns: 8.08; Damage: 2274 (both grass)
Leafeon: *Bullet Seed [grs] / Leaf Blade [grs]; Turns: 8.08; Damage: 2203 (both grass)
Absol*: Snarl [drk] / *Brutal Swing [drk]; Turns: 8.08; Damage: 2066 (both dark)
Shiftry: Snarl [drk] / Leaf Blade [grs]; Turns: 8.08; Damage: 2040
Shiftry: *Bullet Seed [grs] / Leaf Blade [grs]; Turns: 8.08; Damage: 2040 (both grass)
Roserade*: *Bullet Seed [grs] / *Weather Ball (Fire) [fir]; Turns: 8.08; Damage: 1895
Incineroar: Snarl [drk] / Brutal Swing [drk]; Turns: 8.08; Damage: 1797 (both dark)
Pangoro*: Snarl [drk] / Night Slash [drk]; Turns: 8.08; Damage: 1762 (both dark)
Grovyle: Bullet Seed [grs] / Leaf Blade [grs]; Turns: 8.08; Damage: 1754 (both grass)
Crawdaunt: Snarl [drk] / Night Slash [drk]; Turns: 8.08; Damage: 1747 (both dark)
Bellossom: Bullet Seed [grs] / Leaf Blade [grs]; Turns: 8.08; Damage: 1723 (both grass)
Samurott (Hisuian): Snarl [drk] / Sacred Sword [fig]; Turns: 8.08; Damage: 1700
Dusknoir: Hex [gho] / Shadow Punch [gho]; Turns: 8.08; Damage: 1641 (both ghost)
Dudunsparce: Rollout [rck] / Body Slam [nrm]; Turns: 8.08; Damage: 1635
Guzzlord: Snarl [drk] / Brutal Swing [drk]; Turns: 8.08; Damage: 1579 (both dark)
Lickilicky: Rollout [rck] / *Body Slam [nrm]; Turns: 8.08; Damage: 1400
Miltank: Rollout [rck] / Body Slam [nrm]; Turns: 8.08; Damage: 1365
Crawdaunt: Snarl [drk] / Razor Shell [wtr]; Turns: 8.08; Damage: 1344
Thievul: Snarl [drk] / Night Slash [drk]; Turns: 8.08; Damage: 1341 (both dark)
Cherrim (Sunshine): Bullet Seed [grs] / Weather Ball (Fire) [fir]; Turns: 8.08; Damage: 1326
Samurott (Hisuian): Snarl [drk] / Razor Shell [wtr]; Turns: 8.08; Damage: 1308
Greedent*: Bullet Seed [grs] / Body Slam [nrm]; Turns: 8.08; Damage: 1296
Castform: Hex [gho] / Weather Ball (Normal) [nrm]; Turns: 8.08; Damage: 1292
Maushold*: Bullet Seed [grs] / Swift [nrm]; Turns: 8.08; Damage: 1287
Luxray: Snarl [drk] / *Psychic Fangs [psy]; Turns: 8.08; Damage: 1276
Arcanine: Snarl [drk] / Psychic Fangs [psy]; Turns: 8.08; Damage: 1248
Linoone (Galarian): Snarl [drk] / Body Slam [nrm]; Turns: 8.08; Damage: 1192
Manectric: Snarl [drk] / Psychic Fangs [psy]; Turns: 8.08; Damage: 1182
Marowak (Alolan): Hex [gho] / Bone Club [grd]; Turns: 8.08; Damage: 1154
Dusclops: Hex [gho] / Shadow Punch [gho]; Turns: 8.08; Damage: 1130 (both ghost)
Castform: Hex [gho] / Weather Ball (Rock) [rck]; Turns: 8.08; Damage: 1125
Wailmer: Rollout [rck] / Body Slam [nrm]; Turns: 8.08; Damage: 1033
Ferrothorn: Bullet Seed [grs] / Mirror Shot [stl]; Turns: 8.08; Damage: 948
Tandemaus*: Bullet Seed [grs] / Swift [nrm]; Turns: 8.08; Damage: 793
Skwovet: Bullet Seed [grs] / Body Slam [nrm]; Turns: 8.08; Damage: 769
Scrafty: Snarl [drk] / Power-Up Punch [fig]; Turns: 8.08; Damage: 684
Nickit: Snarl [drk] / Night Slash [drk]; Turns: 8.08; Damage: 663 (both dark)

TURNS: 8.57

Greninja*: Water Shuriken [wtr] / *Hydro Cannon [wtr]; Turns: 8.57; Damage: 2622 (both water)

TURNS: 8.75

Blacephalon: Incinerate [fir] / *Mind Blown [fir]; Turns: 8.75; Damage: 4467 (both fire)
Kartana: Fury Cutter [bug] / Leaf Blade [grs]; Turns: 8.75; Damage: 3585
Keldeo (Resolute): Low Kick [fig] / *Secret Sword [fig]; Turns: 8.75; Damage: 2818 (both fighting)
Palkia (Origin): Dragon Breath [drg] / Aqua Tail [wtr]; Turns: 8.75; Damage: 2814
Palkia (Origin): Dragon Tail [drg] / Aqua Tail [wtr]; Turns: 8.75; Damage: 2814
Kartana: Fury Cutter [bug] / Sacred Sword [fig]; Turns: 8.75; Damage: 2810
Palkia: Dragon Breath [drg] / Aqua Tail [wtr]; Turns: 8.75; Damage: 2755
Palkia: Dragon Tail [drg] / Aqua Tail [wtr]; Turns: 8.75; Damage: 2755
Zeraora: Volt Switch [elc] / Plasma Fists [elc]; Turns: 8.75; Damage: 2711 (both electric)
Terrakion: Double Kick [fig] / *Sacred Sword [fig]; Turns: 8.75; Damage: 2620 (both fighting)
Hydreigon: Dragon Breath [drg] / *Brutal Swing [drk]; Turns: 8.75; Damage: 2519
Keldeo (Ordinary): Low Kick [fig] / Sacred Sword [fig]; Turns: 8.75; Damage: 2516 (both fighting)
Gengar*: Shadow Claw [gho] / *Shadow Punch [gho]; Turns: 8.75; Damage: 2515 (both ghost)
Kartana: Fury Cutter [bug] / Night Slash [drk]; Turns: 8.75; Damage: 2487
Sceptile*: Fury Cutter [bug] / Leaf Blade [grs]; Turns: 8.75; Damage: 2475
Salamence: Dragon Tail [drg] / Brutal Swing [drk]; Turns: 8.75; Damage: 2420
Sirfetch'd: Fury Cutter [bug] / Leaf Blade [grs]; Turns: 8.75; Damage: 2405
Victreebel: Acid [poi] / Leaf Blade [grs]; Turns: 8.75; Damage: 2355
Haxorus: Dragon Tail [drg] / Night Slash [drk]; Turns: 8.75; Damage: 2340
Tyranitar: Dragon Breath [drg] / Brutal Swing [drk]; Turns: 8.75; Damage: 2334
Drampa: Dragon Breath [drg] / Swift [nrm]; Turns: 8.75; Damage: 2273
Gallade*: Low Kick [fig] / Leaf Blade [grs]; Turns: 8.75; Damage: 2247
Leafeon*: Quick Attack [nrm] / Leaf Blade [grs]; Turns: 8.75; Damage: 2243
Leavanny: *Shadow Claw [gho] / Leaf Blade [grs]; Turns: 8.75; Damage: 2221
Gyarados: Dragon Breath [drg] / *Aqua Tail [wtr]; Turns: 8.75; Damage: 2204
Gyarados: *Dragon Tail [drg] / *Aqua Tail [wtr]; Turns: 8.75; Damage: 2204
Lurantis: Leafage [grs] / Leaf Blade [grs]; Turns: 8.75; Damage: 2185 (both grass)
Virizion: Double Kick [fig] / Leaf Blade [grs]; Turns: 8.75; Damage: 2165
Haunter: Shadow Claw [gho] / Shadow Punch [gho]; Turns: 8.75; Damage: 2149 (both ghost)
Ursaring: Shadow Claw [gho] / Swift [nrm]; Turns: 8.75; Damage: 2146
Lurantis: Fury Cutter [bug] / Leaf Blade [grs]; Turns: 8.75; Damage: 2131
Gogoat: Vine Whip [grs] / Leaf Blade [grs]; Turns: 8.75; Damage: 2124 (both grass)
Meowscarada: Leafage [grs] / Night Slash [drk]; Turns: 8.75; Damage: 2110
Mienshao: Low Kick [fig] / Brutal Swing [drk]; Turns: 8.75; Damage: 2072
Dhelmise: Shadow Claw [gho] / Brutal Swing [drk]; Turns: 8.75; Damage: 1997
Virizion: Quick Attack [nrm] / Leaf Blade [grs]; Turns: 8.75; Damage: 1994
Scizor: Fury Cutter [bug] / Night Slash [drk]; Turns: 8.75; Damage: 1944
Cobalion: Double Kick [fig] / *Sacred Sword [fig]; Turns: 8.75; Damage: 1935 (both fighting)
Virizion: Double Kick [fig] / *Sacred Sword [fig]; Turns: 8.75; Damage: 1935 (both fighting)
Incineroar*: Double Kick [fig] / Brutal Swing [drk]; Turns: 8.75; Damage: 1926
Pangoro*: Low Kick [fig] / Night Slash [drk]; Turns: 8.75; Damage: 1924
Ampharos: Volt Switch [elc] / Brutal Swing [drk]; Turns: 8.75; Damage: 1923
Goodra: Dragon Breath [drg] / Aqua Tail [wtr]; Turns: 8.75; Damage: 1922
Sirfetch'd: Fury Cutter [bug] / Night Slash [drk]; Turns: 8.75; Damage: 1909
Aurorus: Powder Snow [ice] / Weather Ball (Ice) [ice]; Turns: 8.75; Damage: 1900 (both ice)
Samurott (Hisuian)*: Fury Cutter [bug] / Sacred Sword [fig]; Turns: 8.75; Damage: 1896
Primeape*: Low Kick [fig] / *Cross Chop [fig]; Turns: 8.75; Damage: 1883 (both fighting)
Annihilape: Low Kick [fig] / *Rage Fist [gho]; Turns: 8.75; Damage: 1873
Magnezone: Volt Switch [elc] / Mirror Shot [stl]; Turns: 8.75; Damage: 1870
Sawk: Low Kick [fig] / Body Slam [nrm]; Turns: 8.75; Damage: 1855
Fraxure: Dragon Tail [drg] / Aqua Tail [wtr]; Turns: 8.75; Damage: 1852
Guzzlord*: Dragon Tail [drg] / Brutal Swing [drk]; Turns: 8.75; Damage: 1849
Dodrio: Peck [fly] / *Air Cutter [fly]; Turns: 8.75; Damage: 1848 (both flying)
Bellossom*: Acid [poi] / Leaf Blade [grs]; Turns: 8.75; Damage: 1831
Armaldo: Fury Cutter [bug] / Cross Poison [poi]; Turns: 8.75; Damage: 1829
Abomasnow: Powder Snow [ice] / Weather Ball (Ice) [ice]; Turns: 8.75; Damage: 1819 (both ice)
Abomasnow: Leafage [grs] / Weather Ball (Ice) [ice]; Turns: 8.75; Damage: 1819
Charizard*: *Dragon Breath [drg] / Air Cutter [fly]; Turns: 8.75; Damage: 1806
Scyther: Fury Cutter [bug] / Night Slash [drk]; Turns: 8.75; Damage: 1796
Grovyle*: Quick Attack [nrm] / Leaf Blade [grs]; Turns: 8.75; Damage: 1786
Milotic: Dragon Tail [drg] / Aqua Tail [wtr]; Turns: 8.75; Damage: 1785
Cetitan: Powder Snow [ice] / Body Slam [nrm]; Turns: 8.75; Damage: 1783
Virizion: Quick Attack [nrm] / *Sacred Sword [fig]; Turns: 8.75; Damage: 1771
Charizard*: *Wing Attack [fly] / Air Cutter [fly]; Turns: 8.75; Damage: 1769 (both flying)
Dhelmise: Metal Sound [stl] / Brutal Swing [drk]; Turns: 8.75; Damage: 1766
Druddigon: Dragon Tail [drg] / Night Slash [drk]; Turns: 8.75; Damage: 1755
Dudunsparce*: Dragon Tail [drg] / Body Slam [nrm]; Turns: 8.75; Damage: 1748
Fraxure: Dragon Tail [drg] / Night Slash [drk]; Turns: 8.75; Damage: 1746
Ninetales (Alolan): Powder Snow [ice] / Weather Ball (Ice) [ice]; Turns: 8.75; Damage: 1737 (both ice)
Galvantula: Volt Switch [elc] / Cross Poison [poi]; Turns: 8.75; Damage: 1735
Zangoose: Fury Cutter [bug] / Night Slash [drk]; Turns: 8.75; Damage: 1709
Doublade*: Shadow Claw [gho] / Sacred Sword [fig]; Turns: 8.75; Damage: 1702
Kingdra: Dragon Breath [drg] / Swift [nrm]; Turns: 8.75; Damage: 1695
Pelipper: Wing Attack [fly] / Weather Ball (Water) [wtr]; Turns: 8.75; Damage: 1693
Farfetch'd (Galarian): Fury Cutter [bug] / Leaf Blade [grs]; Turns: 8.75; Damage: 1687
Zangoose: Shadow Claw [gho] / Night Slash [drk]; Turns: 8.75; Damage: 1675
Annihilape: Low Kick [fig] / Night Slash [drk]; Turns: 8.75; Damage: 1660
Galvantula: Fury Cutter [bug] / Cross Poison [poi]; Turns: 8.75; Damage: 1656
Lunatone: Psywave [psy] / Weather Ball (Ice) [ice]; Turns: 8.75; Damage: 1644
Solrock: Psywave [psy] / Weather Ball (Fire) [fir]; Turns: 8.75; Damage: 1644
Hippowdon: Sand Attack [grd] / Weather Ball (Rock) [rck]; Turns: 8.75; Damage: 1640
Golisopod: Fury Cutter [bug] / Razor Shell [wtr]; Turns: 8.75; Damage: 1621
Golisopod: Fury Cutter [bug] / Razor Shell [wtr]; Turns: 8.75; Damage: 1621
Magnezone: Metal Sound [stl] / Mirror Shot [stl]; Turns: 8.75; Damage: 1612 (both steel)
Machoke*: Low Kick [fig] / *Cross Chop [fig]; Turns: 8.75; Damage: 1610 (both fighting)
Barbaracle: Fury Cutter [bug] / Cross Chop [fig]; Turns: 8.75; Damage: 1590
Meowscarada: Leafage [grs] / Flower Trick [grs]; Turns: 8.75; Damage: 1569 (both grass)
Rapidash (Galarian)*: Low Kick [fig] / Body Slam [nrm]; Turns: 8.75; Damage: 1569
Primeape*: Low Kick [fig] / Night Slash [drk]; Turns: 8.75; Damage: 1562
Primeape*: Low Kick [fig] / *Rage Fist [gho]; Turns: 8.75; Damage: 1562
Dragalge: Dragon Tail [drg] / Aqua Tail [wtr]; Turns: 8.75; Damage: 1546
Turtonator*: Incinerate [fir] / Brutal Swing [drk]; Turns: 8.75; Damage: 1545
Hippowdon: Sand Attack [grd] / Body Slam [nrm]; Turns: 8.75; Damage: 1539
Doduo: Peck [fly] / *Swift [nrm]; Turns: 8.75; Damage: 1522
Dragalge: Acid [poi] / Aqua Tail [wtr]; Turns: 8.75; Damage: 1517
Samurott (Hisuian)*: Fury Cutter [bug] / Razor Shell [wtr]; Turns: 8.75; Damage: 1504
Goodra: Dragon Breath [drg] / Muddy Water [wtr]; Turns: 8.75; Damage: 1482
Dewott: Fury Cutter [bug] / Aqua Tail [wtr]; Turns: 8.75; Damage: 1478
Golisopod: Shadow Claw [gho] / Razor Shell [wtr]; Turns: 8.75; Damage: 1476
Golisopod: Shadow Claw [gho] / Razor Shell [wtr]; Turns: 8.75; Damage: 1476
Samurott: Fury Cutter [bug] / Razor Shell [wtr]; Turns: 8.75; Damage: 1462
Masquerain: Infestation [bug] / Air Cutter [fly]; Turns: 8.75; Damage: 1451
Doduo: Quick Attack [nrm] / *Swift [nrm]; Turns: 8.75; Damage: 1437 (both normal)
Dubwool: Double Kick [fig] / Body Slam [nrm]; Turns: 8.75; Damage: 1431
Beautifly: Infestation [bug] / Air Cutter [fly]; Turns: 8.75; Damage: 1428
Dragonair: Dragon Breath [drg] / Aqua Tail [wtr]; Turns: 8.75; Damage: 1424
Dragonair: Dragon Breath [drg] / Body Slam [nrm]; Turns: 8.75; Damage: 1424
Gliscor: Fury Cutter [bug] / Night Slash [drk]; Turns: 8.75; Damage: 1424
Castform (Snowy): Powder Snow [ice] / Weather Ball (Ice) [ice]; Turns: 8.75; Damage: 1420 (both ice)
Runerigus: Shadow Claw [gho] / Brutal Swing [drk]; Turns: 8.75; Damage: 1397
Gliscor: Wing Attack [fly] / Night Slash [drk]; Turns: 8.75; Damage: 1396
Sliggoo: Dragon Breath [drg] / Body Slam [nrm]; Turns: 8.75; Damage: 1389
Zweilous: Dragon Breath [drg] / Body Slam [nrm]; Turns: 8.75; Damage: 1389
Thievul*: Quick Attack [nrm] / Night Slash [drk]; Turns: 8.75; Damage: 1387
Throh: Low Kick [fig] / Body Slam [nrm]; Turns: 8.75; Damage: 1381
Bronzong: Metal Sound [stl] / Weather Ball (Water) [wtr]; Turns: 8.75; Damage: 1371
Parasect: Fury Cutter [bug] / Cross Poison [poi]; Turns: 8.75; Damage: 1359
Klinklang*: Metal Sound [stl] / Mirror Shot [stl]; Turns: 8.75; Damage: 1348 (both steel)
Furret: Quick Attack [nrm] / Swift [nrm]; Turns: 8.75; Damage: 1346 (both normal)
Pawniard: Fury Cutter [bug] / Night Slash [drk]; Turns: 8.75; Damage: 1339
Barbaracle: Fury Cutter [bug] / Razor Shell [wtr]; Turns: 8.75; Damage: 1338
Gliscor: Sand Attack [grd] / Night Slash [drk]; Turns: 8.75; Damage: 1324
Garbodor: Infestation [bug] / Body Slam [nrm]; Turns: 8.75; Damage: 1321
Pidgeot: *Wing Attack [fly] / *Air Cutter [fly]; Turns: 8.75; Damage: 1317 (both flying)
Drapion*: Infestation [bug] / Aqua Tail [wtr]; Turns: 8.75; Damage: 1314
Ariados*: Infestation [bug] / Cross Poison [poi]; Turns: 8.75; Damage: 1313
Girafarig: Double Kick [fig] / Psychic Fangs [psy]; Turns: 8.75; Damage: 1310
Sandslash*: Sand Attack [grd] / *Night Slash [drk]; Turns: 8.75; Damage: 1303
Linoone: Shadow Claw [gho] / Swift [nrm]; Turns: 8.75; Damage: 1291
Ponyta (Galarian)*: Low Kick [fig] / Swift [nrm]; Turns: 8.75; Damage: 1288
Golbat: Wing Attack [fly] / Air Cutter [fly]; Turns: 8.75; Damage: 1277 (both flying)
Lairon: Metal Sound [stl] / Body Slam [nrm]; Turns: 8.75; Damage: 1269
Amaura: Powder Snow [ice] / Weather Ball (Ice) [ice]; Turns: 8.75; Damage: 1267 (both ice)
Plusle: Quick Attack [nrm] / Swift [nrm]; Turns: 8.75; Damage: 1265 (both normal)
Machop*: *Low Kick [fig] / Cross Chop [fig]; Turns: 8.75; Damage: 1246 (both fighting)
Farfetch'd: Fury Cutter [bug] / Leaf Blade [grs]; Turns: 8.75; Damage: 1202
Linoone: Sand Attack [grd] / Swift [nrm]; Turns: 8.75; Damage: 1192
Buneary: Quick Attack [nrm] / Swift [nrm]; Turns: 8.75; Damage: 1182 (both normal)
Sealeo: Powder Snow [ice] / Body Slam [nrm]; Turns: 8.75; Damage: 1174
Corviknight: Sand Attack [grd] / *Air Cutter [fly]; Turns: 8.75; Damage: 1173
Quilladin: Vine Whip [grs] / Body Slam [nrm]; Turns: 8.75; Damage: 1172
Pancham: Low Kick [fig] / Body Slam [nrm]; Turns: 8.75; Damage: 1164
Forretress: Volt Switch [elc] / Mirror Shot [stl]; Turns: 8.75; Damage: 1163
Toxtricity: Acid [poi] / Power-Up Punch [fig]; Turns: 8.75; Damage: 1161
Fomantis: Leafage [grs] / Leaf Blade [grs]; Turns: 8.75; Damage: 1138 (both grass)
Goldeen*: Peck [fly] / Aqua Tail [wtr]; Turns: 8.75; Damage: 1118
Minun: Quick Attack [nrm] / Swift [nrm]; Turns: 8.75; Damage: 1114 (both normal)
Fomantis: Fury Cutter [bug] / Leaf Blade [grs]; Turns: 8.75; Damage: 1110
Quilladin: Low Kick [fig] / Body Slam [nrm]; Turns: 8.75; Damage: 1106
Gligar: Fury Cutter [bug] / Night Slash [drk]; Turns: 8.75; Damage: 1101
Riolu: Quick Attack [nrm] / Cross Chop [fig]; Turns: 8.75; Damage: 1097
Gligar: Wing Attack [fly] / Night Slash [drk]; Turns: 8.75; Damage: 1079
Sliggoo: Dragon Breath [drg] / Muddy Water [wtr]; Turns: 8.75; Damage: 1071
Skrelp: Acid [poi] / Aqua Tail [wtr]; Turns: 8.75; Damage: 1050
Dratini: Dragon Breath [drg] / Aqua Tail [wtr]; Turns: 8.75; Damage: 1040
Staryu: Quick Attack [nrm] / Swift [nrm]; Turns: 8.75; Damage: 1038 (both normal)
Cetoddle: Powder Snow [ice] / Body Slam [nrm]; Turns: 8.75; Damage: 1020
Deino: Dragon Breath [drg] / Body Slam [nrm]; Turns: 8.75; Damage: 1013
Sandshrew (Alolan): Powder Snow [ice] / Night Slash [drk]; Turns: 8.75; Damage: 1011
Farfetch'd: Fury Cutter [bug] / Air Cutter [fly]; Turns: 8.75; Damage: 1004
Buizel: Quick Attack [nrm] / Swift [nrm]; Turns: 8.75; Damage: 1000 (both normal)
Steelix: Dragon Tail [drg] / Psychic Fangs [psy]; Turns: 8.75; Damage: 991
Hawlucha: Low Kick [fig] / Power-Up Punch [fig]; Turns: 8.75; Damage: 981 (both fighting)
Vulpix (Alolan): Powder Snow [ice] / Weather Ball (Ice) [ice]; Turns: 8.75; Damage: 981 (both ice)
Aron: Metal Sound [stl] / Body Slam [nrm]; Turns: 8.75; Damage: 971
Grimmsnarl: Low Kick [fig] / Power-Up Punch [fig]; Turns: 8.75; Damage: 951 (both fighting)
Hippopotas: Sand Attack [grd] / Body Slam [nrm]; Turns: 8.75; Damage: 949
Eevee: Quick Attack [nrm] / *Body Slam [nrm]; Turns: 8.75; Damage: 946 (both normal)
Eevee: Quick Attack [nrm] / Swift [nrm]; Turns: 8.75; Damage: 946 (both normal)
Rattata: Quick Attack [nrm] / Body Slam [nrm]; Turns: 8.75; Damage: 936 (both normal)
Electrike: Quick Attack [nrm] / Swift [nrm]; Turns: 8.75; Damage: 932 (both normal)
Pidgeotto: Wing Attack [fly] / Air Cutter [fly]; Turns: 8.75; Damage: 928 (both flying)
Fletchling: Peck [fly] / Swift [nrm]; Turns: 8.75; Damage: 915
Inkay: Psywave [psy] / Night Slash [drk]; Turns: 8.75; Damage: 905
Vulpix*: Quick Attack [nrm] / Weather Ball (Fire) [fir]; Turns: 8.75; Damage: 885
Chespin: Vine Whip [grs] / Body Slam [nrm]; Turns: 8.75; Damage: 883
Meowth (Galarian): Metal Sound [stl] / Night Slash [drk]; Turns: 8.75; Damage: 868
